id;Equipo;logo;PJ;G;E;P;GF;GC;DG;Puntos;activo
1;Extrellas FC;logos/estrellas.jpg;0;0;0;0;0;0;0;0;1
2;Lipaya FC;logos/lipaya.jpg;0;0;0;0;0;0;0;0;1
3;Sourdis FC;logos/sourdis.jpg;0;0;0;0;0;0;0;0;1
4;Real Porfin;logos/realporfin.jpg;0;0;0;0;0;0;0;0;1
5;NuevaColombia FC;logos/nuevacolombia.jpg;0;0;0;0;0;0;0;0;1
6;7 De Agosto;logo.jpg;0;0;0;0;0;0;0;0;1
7;Sensacion FC;logo.jpg;0;0;0;0;0;0;0;0;1
8;Atletico La Paz;logo.jpg;0;0;0;0;0;0;0;0;1
9;Los Decentes FC;logos/decentes.jpg;0;0;0;0;0;0;0;0;1
10;CiudadModesto FC ;logos/ciudadmodesto.jpg;0;0;0;0;0;0;0;1
